Q,A,label,,,
나 왜 사랑할까?,사랑에는 구구절절한 이유가 필요 없어요.,2,,,
나 왜 사랑해?,당신이니까요.,2,,,
나 왜 이렇게 화냈었지?,돌아보면 다그치지 않고 화내지 않아도 될 일이었을 거예요.,2,,,
나 왜 좋아할까?,당신은 당신이란 이유로 이미 그럴 자격이 있어요.,2,,,
나 윗집 남자애 좋아하는 것 같애.,가깝게 살아서 더 좋겠네요.,2,,,
나 자꾸 놀리는 애가 있는데 나 좋아하는건가.,당신에게만 그런다면 좋아할 확률이 있습니다.,2,,,
나 자체를 사랑해줄 사람이 있을까,잘 찾아보세요.,2,,,
나 좀 봐줬으면 좋겠어,사랑을 구걸하지 마세요.,2,,,
나 좀 사랑해줘,사랑합니다!,2,,,
나 좋아하는 남자애 없나봄. 넘 외로워.,좋아하는 사람이 생길 거예요.,2,,,
나 좋아하는 애 떼어내는 방법 좀 알려줘.,미안하지만 확실한 표현을 전하는게 좋겠어요.,2,,,
나 좋아하는 애 생겼나봐.,좋은 소식 아닌가요?,2,,,
나 좋아하는 애가 갑자기 연락을 안하는데 숨은 뜻이 있는건가?,짐작하는 것보다 먼저 연락해 보는게 좋겠어요.,2,,,
나 좋아하는 애가 매일 선톡 걸다가 갑자기 톡을 안함.,이제 먼저 선톡을 해보세요.,2,,,
나 좋아하는 여자애가 없는 듯. 나 왜 사냐.,언젠간 당신을 좋아해주는 사람이 생길 거예요.,2,,,
나 좋아하는 여자애한테 답장이 안와.,바쁘거나 마음이 없는걸지도 모르겠어요.,2,,,
나 진심인데,진심이 꼭 전해질 거예요.,2,,,
나 짝남이 외국인인데 어떡해. 미치겠어.,먼저 친해져보세요.,2,,,
나 처음 연애해봐,새로 해보는 게 많겠어요.,2,,,
나 혼자 썸 타는 부분?,직접적이든 간접적이든 의사를 확실히 밝혀보세요.,2,,,
나 혼자만의 썸일까?,직접적이든 간접적이든 의사를 확실히 밝혀보세요.,2,,,
나는 꼼꼼한데 여친은 안 꼼꼼해.,꼼꼼함을 강요하지 말고 이해해주세요.,2,,,
나는 못난거 같은데 인기있는 여자에게 연락해도 될까?,연락해도 상관없지만 자신을 비하하지는 마세요.,2,,,
나는 못났는데 인기있는 남자에게 연락해도될까?,연락해도 상관없지만 자신을 비하하지는 마세요.,2,,,
나는 못생겼는데 좋아하는 여자에게 연락해도 될까?,연락해도 상관없지만 자신을 비하하지는 마세요.,2,,,
나는 받기만 하는 것 같아,고마움을 표시하고 더 많이 주세요.,2,,,
나는 사랑 표현이 어색한데 여자친구는 너무 적극적인 표현을 원해,적극적으로 표현해주는 게 좋겠죠. 어색하지만 연습해보세요.,2,,,
나는 아직 고백 전인데 소문 나서 짝녀가 알게 됐는데 어떻게 함?,그 사실에 사과하고 늦지 않게 고백하는게 좋을 것 같아요.,2,,,
나는 아직 고백안했는데 소문이 나서 짝남이 알게 됐어.,많이 당황했겠어요.,2,,,
나는 왜 사랑하는 사람에게 잔인했던가,돌아보면 다그치지 않고 화내지 않아도 될 일이었을 거예요.,2,,,
나는 좋아하는데 그 사람은 나를 친구로만 생각해.,이성으로 대하고 싶다고 말해보세요.,2,,,
나도 모르게 니 생각을 하고 있어,무의식이 진심을 말하죠.,2,,,
나도 좋아하는 사람이랑 놀러가고 싶어.,용기를 내서 말해보세요.,2,,,
나도 좋아하는 사람이랑 영화 보고 싶다.,먼저 연락해 보는건 어떨까요?,2,,,
나랑 다른 애들 자꾸 엮는 애가 있는데 얘 나한테 관심있나?,그 사람만이 알고 있을 사실이네요.,2,,,
나랑 딱 맞는 사람이 있을까?,맞춰가기도 하죠.,2,,,
나랑 맨날 엮이는 사람이 있는데 좋아졌어.,부딛히는 일이 많아 호감이 생겼나봐요.,2,,,
나랑 사귈래?,저라도 괜찮다면 좋아요.,2,,,
나랑 썸 타는 줄 알았는데 내 동기랑 사귐.,찔러본 건가봐요.,2,,,
나랑 썸 타던 여자애가 내 친구랑 사귄대,뒷통수 맞았네요.,2,,,
나랑 썸타는 애가 영화보재.,좋은 소식이네요.,2,,,
나랑만 연락하면,썸일 가능성이 높겠죠.,2,,,
나를 떠보는 것 같은 짝남.,떠보는 것보다 직구 날려보세요.,2,,,
나를 보는 거 같아,자꾸 시선을 마주쳐보세요.,2,,,
나를 설레게하는사람,좋아하나봐요.,2,,,
나를 왜 좋아하는 걸까?,당신의 매력이 넘쳐날 거예요.,2,,,
나를 정말 사랑하는 걸까?,사랑 받는 자신이 알겠죠.,2,,,
나를 좋아하는 사람도 있을까?,있을 거예요.,2,,,
나를 좋아하는 사람은 아무도 없을거야.,그건 절대 아닐 거예요.,2,,,
나를 좋아하는 사람을 만나는 건 축복일거야.,서로 사랑하는 건 기적이죠.,2,,,
나를 좋아하는 사람이 있는데 철벽치게 돼요.,좋아하지 않는다면 그럴 수 있어요.,2,,,
나를 좋아하는 애랑 친구 가능?,그건 좀 힘들 것 같아요.,2,,,
나를 좋아하는건 바라지도 않아요.,슬픈 말이에요.,2,,,
나를 좋아하는데 숨기는 사람한테 나도 좋아한다고 어떻게 표현해?,솔직하게 먼저 말하는게 좋아요.,2,,,
나를 좋아하지 않는 그 사람이 너무 미워.,충분히 미워하고 천천히 정리하세요.,2,,,
나를 좋아한다는 사람한테 호감이 생길까요?,꾸준히 만나다보면 생길 수 있어요.,2,,,
나를 진심으로 좋아해주는 사람이 생겼으면 소원이 없겠어.,언젠간 인연이 닿을 거예요.,2,,,
나를 진심으로 좋아해주는 사람이랑 만날 걸.,어떤 선택이든 후회가 남기 마련이지요.,2,,,
나를 친구로서 좋아하는 걸까?,아직 확신하긴 일러요.,2,,,
나만 너무 좋아하는거 같애,더 표현해 달라고 말해보세요.,2,,,
나만 안되는 연애,당신의 인연이 있을거예요.,2,,,
나만 왜 이렇게 사랑이 힘들까,서로 다른 두 사람이 만나는 거라 더 힘든 것 같아요.,2,,,
나만 좋아하는 건가 자괴감 들어.,상대방 마음을 좀 떠봐서 확인해보세요.,2,,,
나만 좋아하는 것 같아 자존감 떨어져.,더 좋아하게 만들면 돼요.,2,,,
나보다 2살 어린 남자를 좋아하는게 비정상이야?,요즘 그 정도 나이 차이는 동갑 수준이에요.,2,,,
나보다 친구들을 더 좋아하는 남친.,사귀다 보면 생각보다 신경 쓰이는 일이에요.,2,,,
나보다 친구들을 더 좋아하는 여친.,사귀다 보면 생각보다 신겨 쓰이는 일이에요.,2,,,
나쁜 사람인 걸 아는데도 좋아하는 마음이 사라지지 않아.,나쁜 사람일수록 끌리기도 하죠.,2,,,
나에 대한 관심이 줄어든 거 같아,연인 사이로 발전할 수 있었던 계기를 살펴보면 서로에 대한 관심이 있었기 때문이라는 걸 잊지 마세요.,2,,,
나에게만 집중했으면 좋겠어,사랑은 강요하는게 아니에요.,2,,,
나이 먹고 짝사랑하는 내가 한심해.,사랑에는 나이가 상관 없어요.,2,,,
나이 차이 많이 나는 남자 어때?,사랑에 나이는 중요하지 않아요.,2,,,
나이 차이 많이 나는 여자 어때?,사랑에 나이는 중요하지 않아요.,2,,,
나이 차이 많이 나는 짝녀에게 고백해도될까?,나이는 문제가 되지 않아요.,2,,,
나이가 많이 차이 나는 연애 어떻게 생각해?,연애에 나이가 대수인가요.,2,,,
나이가 어린데 연애를 해도 될까?,사랑에 나이는 중요하지 않아요.,2,,,
나이들수록 좋아하는게 두려워져요.,겁이 많아지니까요.,2,,,
나이를 먹을수록 새로운 사람 만나는게 두려워.,두려워도 도전한 만큼 좋은 결과 있을 거예요.,2,,,
나이트갔는데 이상형 만났어,축하해요.,2,,,
나한테 관심 없는 거 아는데도 포기가 안돼.,끝을 아는 것도 중요합니다.,2,,,
나한테 관심 있는게 맞을까?,직접적이든 간접적이든 의사를 확실히 밝혀보세요.,2,,,
나한테 관심이 없는 것 같은데 왜 끈을 놓지 못할까?,그만큼 사랑했던 시간이 있으니까요.,2,,,
나한테 너무 잘해줘서 이래도 되나 싶어,존재 자체로 큰 힘이 되어주고 있나봅니다.,2,,,
나한테 뒷모습만 보여줬어,이제 앞모습을 볼 차례네요.,2,,,
나한테 마음 떠난 사람이랑 계속 사귀기?,사랑 받으면서 사세요.,2,,,
나한테 목적 가지고 접근한 거 같아,상처 받으셨겠어요.,2,,,
나한테 배려해줘서 나도 해주고 싶어,보는 만큼 알게 되고 아는 만큼 좋아할 수 있고 좋아하는 만큼 배려해줄 수 있을 거예요.,2,,,
나한테 잘해주는데 썸일까?,호감이 있을 수도 있어요. 그렇지만 조금 더 상황을 지켜보세요.,2,,,
나한테 질리면 어쩌지 걱정돼,당신의 겉모습이 아닌 진정한 내면의 모습을 보여주세요.,2,,,
나한테도 관심 있어 보이는데 연락해볼까?,먼저 연락해보세요.,2,,,
나한테만 잘해주는 걸까?,주변 사람들한테 물어보는 것도 좋을 것 같아요.,2,,,
나혼자 설레는게 한심해.,설레는 감정을 느끼는 당신이 부러워요.,2,,,
나혼자 설레발 치는게 짜증나.,짝사랑이 그런가봐요.,2,,,
나혼자 짝사랑하는게 점점 현타 와.,짝사랑이 힘들게 하나봐요.,2,,,
난 금사빠라서 오랫동안 좋아하는 사람 보면 신기해.,대단한 일이지요.,2,,,
난 남자인데 남자가 좋아.,동성애를 존중합니다.,2,,,
난 여자인데 남자를 좋아하는게 맞는지 모르겠어.,헷갈릴 때가 있죠.,2,,,
날 사랑하는 이유가 뭘까?,당신 존재 자체만으로 이유가 됩니다.,2,,,
날 좋아하는 사람을 어떻게 하면 저를 좋아하게 만들까요?,그 사람이 좋아하는 것들을 알아보세요.,2,,,
날 좋아하는 여자애가.,다른 사람을 좋아하게 되었나요.,2,,,
날 좋아하던 남자애가 고백이 없는데 맘 접은걸까?,속 마음은 알기 힘들지요.,2,,,
날 좋아하던 여자애가 반응이 없어.,마음을 접은 걸까봐 두려운가요.,2,,,
날 좋아한다는 남자애가 행동이 이상해.,애매하게 행동하나봐요.,2,,,
남녀 학벌차이 많이나면 좀 그런가,학벌 생각보다 별 거 아니에요.,2,,,
남녀간의 소통의 중요성을 다시 한번 깨달았습니다.,서로 공감할 수 있는 이야기가 필요하죠,2,,,
남사친 좋아하는 내가 잘못이지.,잘못은 아니에요.,2,,,
남사친이 나를 좋아하는 것 같은데 어떡함,이성으로 한 번 생각해보세요.,2,,,
남사친이 남자로 느껴질때 있어?,이성이니까 당연히 있죠.,2,,,
남사친이 많은 썸녀,저는 별로요.,2,,,
남사친이 좋아졌어.,자연스러운 감정이에요.,2,,,
남사친이 좋아졌으면 어떡해?,좋아진 이상 이성으로 다가가야죠.,2,,,
남사친이라 쓰고 짝남이라 읽는다.,슬픈 이야기네요.,2,,,
남사친이랑 사귀는 거 가능?,가능해요.,2,,,
남사친이랑 잘 맞아서 카톡이 끊어지지 않는데 이거 그린라이트일까?,편한 친구일 수도 있으니 좀 더 지켜보세요.,2,,,
남사친인데 요즘 관심 가.,친구랑 썸의 중간인 거 같아요.,2,,,
남자가 더 사랑해서 결혼하면 잘 사나요?,잘 살 사람들이면 뭘 하든 잘 살아요.,2,,,
남자가 더 사랑해서 한 결혼,누가 더 사랑하는지는 상관 없어요.,2,,,
남자가 돈을 더 써야하는게 일반적이야?,상황에 따라 다르죠.,2,,,
남자가 먼저 고백해야 해?,고백에 성별은 없어죠.,2,,,
남자가 여자를 좋아하는데 약속을 까먹을 수 있나요?,정말 바빴던게 아니라면 까먹지는 않을 거예요.,2,,,
남자가 여자를 좋아할때 하는 행동이 뭐가 있나요?,연락을 자주 하거나 잘 웃거나 등 다양한 행동에서 나타납니다.,2,,,
남자가 좋아하는 음식이 뭐야?,사람 마다 다릅니다.,2,,,
남자는 먼저 고백하면 관심 사라짐?,이 무슨 이상한 소리죠.,2,,,
남자는 정말 사랑없는 성관계 가능해?,남자든 여자든 다 가능하다고 봅니다.,2,,,
남자는 좋아하는 여자랑 눈 마주치면 어떻게 해?,당황해서 제대로 눈을 못 볼 것 같아요.,2,,,
남자는 좋아하는 여자랑 약속 안 까먹겠죠?,누구든 그럴 거예요.,2,,,
남자는 첫사랑 못 잊어?,여자도 첫사랑 못 잊어요.,2,,,
남자는 호감 없으면 연락 안해?,귀찮으면 연락 안하죠.,2,,,
남자들 직장 내에서 좋아하는 여자 있으면 어떻게 해?,관심을 표현할 거예요.,2,,,
남자들 진심으로 좋아하는데도 이렇게 행동할 수 있나요?,어떤 행동이냐에 따라 달라져요.,2,,,
남자들은 관심 없으면 보통 연락 먼저 안해?,보통 그렇죠.,2,,,
남자들은 몇 년씩 혼자 짝사랑 할 수도 있어?,계속 엄청 좋아하는 게 아니라 좋아했는데 시간이 흐른 거죠.,2,,,
남자들은 여자가 본인 좋아하는거 눈치 못 채나?,다 알고 있을 거예요.,2,,,
남자들은 여자가 자기 좋아하는 거 알게 되면 어떻게 해? 싫지 않다면 받아줘?,그분도 좋아한다면 받아줄 거예요.,2,,,
남자들은 이쁜 여자만 좋아할까요?,사람 취향 차이입니다.,2,,,
남자들은 좋아하는 사람한테만 잘해주고 그래요?,사람 마다 다르겠지만 좋아하는 사람한테 더 잘할 거예요.,2,,,
남자들은 좋아하는 여자가 자기보다 능력이 좋은 경우에 아무리 좋아해도 마음 접고 포기하나요?,절대 능력만 중요하지 않아요.,2,,,
남자들은 좋아하는 여자한테 이럴 수 있어?,어떤 행동이냐에 따라 다르겠지요.,2,,,
남자들은 좋아하면 무조건 답장이 빠른가요?,답할 수 있는 상황이면 빠르죠.,2,,,
남자들이 싫어하는 여자들 특징은 뭘까요.,솔직하지 않을 때를 고를 수도 있겠어요.,2,,,
남자들이 좋아하는 여자들 특징은 뭐야?,사람마다 너무 다를 것 같아요.,2,,,
남자랑 단둘이 술마시는 여자친구를 이해해줘야할까?,이해하기 어려울 거 같아요.,2,,,
남자에게 첫사랑이란?,처음한 사랑,2,,,
남자친구 만나고 왔어,즐거운 데이트였길 바랍니다.,2,,,
남자친구 만들고 싶어,남자친구가 있을 만한 곳으로 가보세요.,2,,,
남자친구 말고 다른 남자도 궁금해.,후회 안 할 자신 있나요.,2,,,
남자친구 부모님 만났는데 진짜 좋았어,좋은 분끼리 만났나봐요.,2,,,
남자친구 소개시키는 자리 내가 더 떨려,남자친구는 더 떨고 있을 거예요.,2,,,
남자친구 스타일이 마음에 안들어.,선물해주면서 조금씩 변화시켜봐요.,2,,,
남자친구 영장 나왔대,갑작스럽겠네요.,2,,,
남자친구 오지랖 너무 많아,좋은 오지랖이었으면 좋겠네요.,2,,,
남자친구 이성친구가 많아,사귈 때는 덜 만나라고 말해봐요.,2,,,
남자친구 자취 선물로 뭐가 좋을까?,직접 물어보는 게 편할 거 같아요.,2,,,
남자친구 카톡 말투가 마음에 안 들어.,마음에 안 드는 부분을 직접 말해보세요.,2,,,
남자친구 코 완전 높아,멋진 사람이랑 사귀어서 좋겠네요.,2,,,
남자친구 폰 봐도 되나,궁금하다고 보고 싶다고 먼저 말해보는 게 좋을 거 같아요.,2,,,
남자친구가 sns에 나 안 올려.,개인 성향 차이인 것 같아요.,2,,,
남자친구가 갑자기 군대간대,갑작스럽겠네요.,2,,,
남자친구가 게임을 너무하는게 고민이야.,같이 게임을 해보세요.,2,,,
남자친구가 기념일을 잘 잊어.,특별한 알람을 맞춰주세요.,2,,,
남자친구가 나 사랑할까?,사랑하니까 만나겠죠.,2,,,
남자친구가 나를 너무 애 취급하는거 같음.,당신이 너무 귀여운가봐요.,2,,,
남자친구가 나를 더 좋아하게 할 수 있는 방법,당신이 더 사랑을 표현해보세요.,2,,,
남자친구가 나를 떠날까봐 고민이야.,괜한 걱정하지 마요.,2,,,
남자친구가 나쁜 의도는 아닌데 표현이 너무 서툴러.,더 좋은 표현들로 천천히 고쳐나가봐요.,2,,,
남자친구가 나한테 너무 집착해,믿음을 주세요.,2,,,
남자친구가 날 예뻐해주는 게 느껴져,달달함이 여기까지 느껴져요.,2,,,
남자친구가 내 편을 안 들어 주고 조언만 해줘,아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해보세요.,2,,,
남자친구가 너무 객관적이야.,좀 더 내 편이 되어달라고 해보세요.,2,,,
남자친구가 너무 국밥류만 좋아해.,다양하게 먹자고 해보세요.,2,,,
남자친구가 너무 귀찮아해.,사랑이 식은 건 아닌지 확인해보세요.,2,,,
남자친구가 너무 똑똑해,똑똑한 남자친구를 둬서 좋겠네요.,2,,,
남자친구가 너무 바쁘다면 헤어지는게 맞는걸까?,외로운 상태인가봐요.,2,,,
남자친구가 너무 소심해,직설적으로 통보하는 말보다는 조금 더 부드럽게 권유하고 물어보는 말을 해보세요.,2,,,
남자친구가 너무 잘해줘,서로 더 많이 아껴주세요.,2,,,
남자친구가 너무 조급해.,좀 더 여유를 가질 수 있게 응원해주세요.,2,,,
남자친구가 너무 좋아,꿀 떨어지는 소리가 여기까지 들리내요.,2,,,
남자친구가 누나가 두명이라 그래서 결혼 걱정돼,결혼은 현실이에요.,2,,,
남자친구가 다른 여자들에게 인기가 많아.,인기 많은 남자친구가 있어 든든할 거 같아요.,2,,,
담배피는게 싫어.,금연 클리닉에 함께 가보세요.,2,,,
남자친구가 데려다 준대,매너 있네요.,2,,,
남자친구가 데이트 통장을 제안하는데 어떻게 생각해?,합리적인 소비가 가능할 거 같아요.,2,,,
남자친구가 돈이 너무 없어.,정말 현실적인 문제네요.,2,,,
남자친구가 되어줘.,네 많은 이야기를 나눠봐요.,2,,,
남자친구가 마중 나온대,매너 있네요.,2,,,
남자친구가 많이 먹어서 무한리필만 가,다른 데이트를 제안해보세요.,2,,,
남자친구가 말을 예쁘게 해,말도 예쁘게 하는 사람이네요.,2,,,
남자친구가 먹을 거에 집착해,사람은 모두 집착하는 포인트가 달라요.,2,,,
남자친구가 뭔가 수상한데 말을 안해,말할 때까지 조금 기다려주세요.,2,,,
남자친구가 변해가는거 같아.,변하는 걸 보는 게 힘들겠어요.,2,,,
남자친구가 비꽈,성격이 꼬였는지 말투가 꼬였는지 살펴보세요.,2,,,
남자친구가 비혼주의래,고민이 많이 되겠네요.,2,,,
남자친구가 사랑스럽게 쳐다봄!,말하지 않아도 눈빛은 수많은 말들을 담고 있죠.,2,,,
남자친구가 살이 너무 쪘어,같이 식단조절을 해봐요.,2,,,
남자친구가 센 척해,귀엽게 봐주세요.,2,,,
남자친구가 술만 마시면 연락이 안돼.,연락 안되면 걱정된다고 꼭 중간중간 연락 달라고 해보세요.,2,,,
남자친구가 술먹으면 개가 돼,주사는 답이 없어요.,2,,,
남자친구가 술자리를 너무 좋아해.,함께 즐겨보세요.,2,,,
남자친구가 술주정 부려,포기하거나 이해하거나 둘 중 하나예요.,2,,,
남자친구가 을 너무 좋아해,원치 않으면 싫다고 말하세요.,2,,,
남자친구가 연락 안 하고 외박했어,당신이 생각하는 그런일은 없을거예요.,2,,,
남자친구가 연락이 너무 늦어.,바쁜 걸 이해해보세요.,2,,,
남자친구가 연락이 없어,먼저 연락을 해보세요.,2,,,
남자친구가 연애하는데 가끔씩 막말을 해.,막말은 진짜 아니네요.,2,,,
남자친구가 외아들 홀시어머니라 결혼 고민이야,결혼은 현실이에요.,2,,,
남자친구가 유학 간대,기다릴 수 있을지 자신에게 물어보세요.,2,,,
남자친구가 있는데 다른 사람을 좋아하는 것 같애.,마음이 어디를 향하고 있는지 제대로 살펴보세요.,2,,,
남자친구가 자존심이 너무 쎄,사랑한다면 자존심을 굽힐 줄도 알아야 겠죠.,2,,,
남자친구가 작은 일을 다 잊어버려,작은 일은 사소한 걸로 생각해버려서 금방 잊어버리나 봅니다. 중요한 일이라는 것을 인지시켜주세요.,2,,,
남자친구가 잘못을 해도 다 공감해주는게 옳은걸까?,공감을 해주면서 잘못을 고치도록 유도해보세요.,2,,,
남자친구가 잘생겨서 인기가 거의 아이돌급이야,멋진 사람이랑 사귀어서 좋겠네요.,2,,,
남자친구가 적극적이지가 않아.,적극적으로 리드해보세요.,2,,,
남자친구가 전역하더니 변한 거 같아,상황이 생각을 바뀌게 하기도 합니다.,2,,,
남자친구가 좋은데 눈치가 없어.,눈치는 선천적인 거예요.,2,,,
남자친구가 좋은데 신뢰가 안 생겨.,시간이 좀 더 필요할 것 같아요.,2,,,
남자친구가 준 생일선물이 너무 맘에 안 들어.,안 준 것보다 낫죠.,2,,,
남자친구가 진짜 잘 챙겨줘,당신도 잘 챙겨주세요.,2,,,
남자친구가 질투를 안해,보살인가봅니다.,2,,,
남자친구가 질투하는 거 귀여워,은근 기분이 좋죠.,2,,,
남자친구가 집안일을 너무 안해. 나만 하는게 고민이야.,집안일을 하나씩 분담해보세요.,2,,,
남자친구가 집청소를 너무 안해.,같이 안해보세요.,2,,,
남자친구가 짠돌이라서 돈 쓸 때 엄청 아까워해,성향이 다른가봅니다.,2,,,
남자친구가 첫사랑이야,마지막 사랑이 되길 바랍니다.,2,,,
남자친구가 충고만 해서 상처받아,아예 처음에 말할 때부터 조언이 아니라 귀 기울여주고 맞장구쳐 달라고 해보세요.,2,,,
남자친구가 친구들이랑 여행을 가는데 여자도 있으면 어떡해?,같이 갈 수 있으면 같이 가요.,2,,,
남자친구가 카톡 답장이 너무 느려.,자주 보라고 말해보세요.,2,,,
남자친구가 클럽을 간다면 어떻게해?,같이 가보세요.,2,,,
남자친구가 키가 좀 작아,키가 중요한 게 아니잖아요.,2,,,
남자친구가 표현을 하게하고싶은데 방법을 잘 모르겠어.,작은 표현에 감동받았다고 해봐요.,2,,,
남자친구가 표현이 너무 없어. 너무 무뚝뚝해.,표현 안 하면 하나도 모르겠다고 해보세요.,2,,,
남자친구가 힘들어 해,진심으로 격려하고 함께 있어 주세요.,2,,,
남자친구랑 너무 좋은데 점 본거에서는 만나지말라해.,점보다 앞에 있는 사람을 믿어보세요.,2,,,
남자친구랑 말이 안 통해,답답하겠네요.,2,,,
남자친구랑 말이 안 통해,서로 공통 관심사를 찾아보세요.,2,,,
남자친구랑 멀리 떨어져야할 거 같은데 어쩌지?,멀리 떨어진다고 큰일 나는 건 아닌 것 같기도 해요.,2,,,
남자친구랑 스킨십하고 싶어,대화를 하면서 속도를 맞춰보세요.,2,,,
남자친구랑 왜 맨날 싸울까?,"따로 살아온 삶과 습관, 성향이 다르기 때문일 거예요.",2,,,
남자친구랑 카페가면 무슨 얘기하지?,못 만났을 때 있었던 이야기를 하죠.,2,,,
남자친구를 믿는데 가끔 의심이 가.,믿음이 흔들리고 있네요.,2,,,
남자친구를 질리게하는 행동들이 뭐가 있어?,구속과 집착이겠죠.,2,,,
남자친구앨범속에 지우지못한 전 여자친구 사진 이해해야할까?,까먹고 안 지웠을 수도 있어요.,2,,,
남자친구에게 고민이나 속사정을 어디까지 얘기해?,믿음의 정도에 따라 다른 거 같아요.,2,,,
남자친구에게 시계 선물해주고싶은데 어느 브랜드가 좋을까?,나이대에 따라 추천 브랜드가 다를 거 같아요.,2,,,
남자친구에게 적극적으로 표현할까 아니면 도도하게 하는게 좋을까?,왔다갔다 밀당해보세요.,2,,,
남자친구에게 힘들때 어떻게해?,의지하는 편이에요.,2,,,
남자친구와 동거 해도되는걸까?,사랑한다면 선택할 수 있겠죠.,2,,,
남자친구와 방구 언제 텄는지?,생리현상은 늦게 트는 게 좋죠.,2,,,
남자친구와 여사친이 너무 친해,사귀면 좀 덜 만나는 게 예의일 텐데요.,2,,,
남자친구와 여행 어디로 가?,안 가본 가까운 곳이 좋겠죠.,2,,,
남자친구와 진도가 보통 어때?,사람마다 다르겠죠.,2,,,
남자친구와 첫키스는 언제했어?,뭐 이런 걸 물어보시나요.,2,,,
남자친구와 카페가면 뭐해?,수다떨고 영화보고 책보기 등등 다양하게 할 수 있어요.,2,,,
남자친구와 호칭을 뭘 쓰는지.,딱 생각나는 걸로 하세요.,2,,,
남자친구의 감정기복이 너무 심해.,피해를 줄 때는 피하세요.,2,,,
남자친구의 과거 어디까지 이해해?,아예 알려고 하지 않는 게 편한 거 같아요.,2,,,
남자친구의 과거의 동거를 이해해줄 수 있어?,이해하기 어려울 거 같아요.,2,,,
남자친구의 성적 취향을 이해못하겠어.,대화를 해보세요.,2,,,
남자친구의 스킨쉽이 너무 부담돼.,좀 더 편하게 생각해보세요.,2,,,
남자친구의 유머코드가 너무 안 맞아.,맞는 사람을 만나 보세요.,2,,,
남자친구의 입냄새가 고민이야.,가글 사줘요.,2,,,
남자친구의 전여자친구가 너무 이뻐서 비교돼.,전여자친구 생각하지 마세요.,2,,,
남자친구의 틀리는 맞춤법이 거슬려.,지적하지 말고 맞는 걸로 계속 이야기해주세요.,2,,,
남자친구의 학력이 너무 높아서 내가 부족해 보임,주눅들지 마세요.,2,,,
남자친구의 혼전순결이 고민이야.,결혼합시다.,2,,,
남자친구하고 커플티를 하고싶은데 어디거를 할까?,좋아하는 브랜드가 좋겠어요.,2,,,
남자친구한테 서운해,수천번 생각해도 이건 아니라고 생각이 되면 서운하다고 이야기하세요.,2,,,
남자친구한테 아무리 말해도 자기 말만해,대화를 할 수 없겠네요. 부드럽게 요구해보세요.,2,,,
남자친구한테 안 설레,큰일이네요.,2,,,
남자친구한테 정 떨어진 거 같아,사랑하는 이유를 생각해보세요.,2,,,
남자친구한테 핸드폰 공개해?,공개해요.,2,,,
남자한테 언제 설레?,그런 경우가 많겠지만 흘리는 말을 한 걸 안 잊고 기억해줄 때요.,2,,,
남잔데 남자 좋아해,성적자기결정권이있죠.,2,,,
남잔데 남자를 사랑하는 거 같아,사랑하는 방법은 다양하다고 생각해요.,2,,,
남친 멀어진 것 같아,나를 사랑하지 않는 사람하고 계속 가는 건 나 자신을 사랑하지 않는 사람들이나 하는 일이에요.,2,,,
남친 생겼는데 호칭 어떻게 해?,딱 보면 떠오르는 걸로 해보세요.,2,,,
남친 연상인데 오빠라고 불러야 해?,호칭은 마음대로 골라보세요.,2,,,
남친 요구가 점점 심해지는 듯,모두 맞춰줄 필요는 없어요.,2,,,
남친 있는 짝녀가 친절한데 무슨 의미일까요?,직접 의중을 확인하는 것도 방법이에요.,2,,,
남친 있는데 다른 사람이 자꾸 눈에 들어와.,상대방을 헷갈리게 하는건 좋지 않아요.,2,,,
남친 투정이 심해,대화를 통해 적절한 합의점을 찾아보세요.,2,,,
남친과 살아온 환경이 너무 달라,서로 인정하고 배려해주세요.,2,,,
남친에 대한 불신이 자꾸 들어,믿지 못할 행동을 많이 했나봐요.,2,,,
남친이 나를 안 좋아하는 것 같은데 내가 붙잡고 있는 것 같아.,충분한 대화가 필요하겠어요.,2,,,
남친이 나를 좋아하는게 맞겠지?,그렇게 생각하는게 도움이 될 때가 있지요.,2,,,
남친이 나보다 눈물이 더 많아,감수성이 풍부한 사람이군요.,2,,,
남친이 내 사진 프사로 안해.,각자의 프라이버시니까 이해해주세요.,2,,,
남친이 내 친구랑 연락하는 것 같애,슬쩍 떠서 확인해봐요.,2,,,
남친이 데이트 시간을 자꾸 늦어.,잠이 많은 남자친구를 이해해주세요.,2,,,
남친이 사진 잘 찍었으면,계속 알려주세요.,2,,,
남친이 안 좋은 사이트를 하는거같아.,빠질까봐 걱정된다고 말해보세요.,2,,,
남친이 워커홀릭이야,일에 질투가 나겠어요.,2,,,
남친이랑 대화가 잘 돼서 좋아,말 통하는 게 중요하죠.,2,,,
남친이랑 뭐하고 놀지,얼굴 보고만 있어도 좋죠.,2,,,
남편복 있다는 의미가 뭐야?,남편 때문에 행복하다는 거 같아요.,2,,,
남편은 진짜 남의 편인가?,당신 편으로 만들어보세요.,2,,,
남편을 자꾸 무시하게 돼,타인과 비교하지 말고 장점을 찾아 칭찬해주세요.,2,,,
남편이 게이였어,엄청 놀랐겠네요.,2,,,
남편이 나를 사랑한대,연애하는 느낌이네요.,2,,,
남편이 날 사랑하지 않는 것 같아. 이혼해야할까?,현실적으로 생각해보세요.,2,,,
